City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Acapulco,MX,2021-10-26 09:36:27,16.8634,-99.8901,76.46,88,100,4.23
68,Safaga,EG,2021-10-26 09:40:15,26.7292,33.9365,82.9,47,0,13.49
69,Ponta Do Sol,PT,2021-10-26 09:40:16,32.6667,-17.1,74.12,56,11,3.67
70,Albany,US,2021-10-26 09:39:59,42.6001,-73.9662,51.75,95,100,3.96
71,Ordzhonikidze,KZ,2021-10-26 09:40:16,52.4411,61.7408,37.11,41,36,10.42
72,Hobart,AU,2021-10-26 09:40:16,-42.8794,147.3294,51.66,79,0,1.01
73,Faya,SA,2021-10-26 09:40:17,18.3851,42.4509,75.72,32,5,4.45
74,Aurdal,NO,2021-10-26 09:40:17,60.9242,9.4159,42.12,80,91,3.65
75,Salinopolis,BR,2021-10-26 09:40:17,-0.6136,-47.3561,82.26,73,41,13.73
76,Evans,US,2021-10-26 09:38:51,33.5337,-82.1307,62.8,77,20,1.99
77,Ahmadpur East,PK,2021-10-26 09:40:18,29.1431,71.2598,90.28,19,0,9.13
78,Vaxjo,SE,2021-10-26 09:40:18,56.8777,14.8091,49.71,100,90,6.91
79,Bethel,US,2021-10-26 09:40:19,41.3712,-73.414,60.48,93,90,1.99
80,Port Alfred,ZA,2021-10-26 09:40:19,-33.5906,26.891,70.81,71,98,22.03
81,Boende,CD,2021-10-26 09:40:19,-0.2167,20.8667,72.01,98,100,3.29
82,Zwedru,LR,2021-10-26 09:40:19,6.0667,-8.1281,71.89,95,100,1.81
83,Cape Town,ZA,2021-10-26 09:36:29,-33.9258,18.4232,77.11,44,0,17.27
84,Nikolskoye,RU,2021-10-26 09:40:20,59.7035,30.7861,45.88,79,100,7.94
85,Tuktoyaktuk,CA,2021-10-26 09:40:20,69.4541,-133.0374,27.55,96,100,5.95
86,Cidreira,BR,2021-10-26 09:40:21,-30.1811,-50.2056,65.39,70,0,5.91
87,Princeton,US,2021-10-26 09:40:21,25.5384,-80.4089,78.03,96,1,4.61
88,Bubaque,GW,2021-10-26 09:40:21,11.2833,-15.8333,82.04,73,100,11.25
