City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yellowknife,CA,2021-10-30 20:19:29,62.456,-114.3525,30.72,81,40,7.0
68,Lluta,PE,2021-10-30 20:22:23,-16.0147,-72.0142,64.67,30,51,10.49
69,Yuzhno-Kurilsk,RU,2021-10-30 20:22:23,44.0306,145.8556,45.95,85,62,9.95
70,Ambilobe,MG,2021-10-30 20:22:23,-13.2,49.05,75.96,80,98,1.68
71,Cortez,US,2021-10-30 20:22:24,37.3489,-108.5859,69.42,32,1,8.05
72,Avarua,CK,2021-10-30 20:22:24,-21.2078,-159.775,75.25,60,100,16.11
73,Smithers,CA,2021-10-30 20:22:24,54.7804,-127.1743,34.12,69,20,4.61
74,Saskylakh,RU,2021-10-30 20:22:25,71.9167,114.0833,8.26,94,100,10.63
75,Hithadhoo,MV,2021-10-30 20:22:25,-0.6,73.0833,82.87,75,100,18.43
76,Kaitangata,NZ,2021-10-30 20:22:25,-46.2817,169.8464,53.85,75,100,3.76
77,Butaritari,KI,2021-10-30 20:22:26,3.0707,172.7902,82.53,72,39,6.44
78,Diadi,PH,2021-10-30 20:22:26,16.662,121.3658,71.38,93,96,2.04
79,Santa Rosalia,MX,2021-10-30 20:22:26,27.3167,-112.2833,82.58,34,0,6.42
80,Provideniya,RU,2021-10-30 20:22:27,64.3833,-173.3,12.6,83,88,10.6
81,Paraiso,CR,2021-10-30 20:22:27,9.8383,-83.8656,67.91,93,95,1.77
82,Arraial Do Cabo,BR,2021-10-30 20:22:27,-22.9661,-42.0278,73.26,83,75,10.36
83,At-Bashi,KG,2021-10-30 20:22:28,41.1702,75.8106,24.94,48,25,3.62
84,Kahului,US,2021-10-30 20:22:28,20.8947,-156.47,85.26,65,1,9.22
85,Nabire,ID,2021-10-30 20:22:28,-3.3667,135.4833,74.55,92,86,3.69
86,Ponta Delgada,PT,2021-10-30 20:22:29,37.7333,-25.6667,74.5,94,75,14.97
87,Atuona,PF,2021-10-30 20:22:29,-9.8,-139.0333,77.85,67,5,17.27
88,Suhbaatar,MN,2021-10-30 20:22:29,50.2314,106.2078,28.36,53,64,4.76
89,Clyde River,CA,2021-10-30 20:20:26,70.4692,-68.5914,28.63,100,90,23.02
90,Nantucket,US,2021-10-30 20:17:38,41.2835,-70.0995,62.96,90,100,21.92
91,Cheney,US,2021-10-30 20:20:27,47.4874,-117.5758,50.0,64,20,10.36
92,Ilulissat,GL,2021-10-30 20:22:30,69.2167,-51.1,37.42,65,75,10.36
93,Bambous Virieux,MU,2021-10-30 20:22:30,-20.3428,57.7575,71.85,88,20,3.44
94,Miranda,CO,2021-10-30 20:22:31,3.2499,-76.2281,82.53,64,60,1.48
95,Moose Factory,CA,2021-10-30 20:22:31,51.2585,-80.6094,44.6,81,90,6.91
96,Bredasdorp,ZA,2021-10-30 20:18:45,-34.5322,20.0403,58.28,88,73,2.3
97,Ossora,RU,2021-10-30 20:22:31,59.2353,163.0719,16.9,93,95,5.95
98,Haverhill,US,2021-10-30 20:22:32,42.7762,-71.0773,60.12,89,90,4.0
99,Chuy,UY,2021-10-30 20:19:27,-33.6971,-53.4616,71.24,75,87,13.73
100,Wamba,NG,2021-10-30 20:22:32,8.9333,8.6,76.33,72,100,2.75
101,Thompson,CA,2021-10-30 20:19:32,55.7435,-97.8558,37.56,75,90,12.66
102,Iguatemi,BR,2021-10-30 20:22:33,-23.6803,-54.5611,76.69,83,100,3.71
103,Tres Picos,MX,2021-10-30 20:22:33,15.8667,-93.5333,86.38,57,17,2.77
104,Honningsvag,NO,2021-10-30 20:22:33,70.9821,25.9704,41.85,60,100,5.73
105,Araguaina,BR,2021-10-30 20:22:34,-7.1911,-48.2072,89.56,43,52,8.52
106,Goryachiy Klyuch,RU,2021-10-30 20:22:34,44.6308,39.13,46.02,87,0,4.43
107,Sao Felix Do Xingu,BR,2021-10-30 20:22:34,-6.6447,-51.995,91.42,42,99,3.33
108,Tuktoyaktuk,CA,2021-10-30 20:22:34,69.4541,-133.0374,17.6,100,75,10.36
109,Tezu,IN,2021-10-30 20:22:35,27.9167,96.1667,66.34,52,15,4.59
110,Chapais,CA,2021-10-30 20:22:35,49.7834,-74.8492,55.18,50,92,7.05
111,Ust-Tsilma,RU,2021-10-30 20:22:36,65.441,52.1498,21.96,97,100,4.65
112,Port Lincoln,AU,2021-10-30 20:22:36,-34.7333,135.8667,52.65,75,0,9.01
113,Georgetown,MY,2021-10-30 20:19:21,5.4112,100.3354,77.9,93,20,2.3
114,Resita,RO,2021-10-30 20:22:36,45.3008,21.8892,53.1,80,0,6.58
115,Pevek,RU,2021-10-30 20:22:37,69.7008,170.3133,-2.96,96,100,10.63
116,Nikolskoye,RU,2021-10-30 20:19:41,59.7035,30.7861,45.88,93,95,7.47
117,Upernavik,GL,2021-10-30 20:22:38,72.7868,-56.1549,26.56,57,100,7.58
118,Yurecuaro,MX,2021-10-30 20:22:38,20.3333,-102.3,83.19,29,12,1.77
119,Kralendijk,BQ,2021-10-30 20:22:38,12.15,-68.2667,84.18,79,40,10.36
120,Khatanga,RU,2021-10-30 20:22:39,71.9667,102.5,-6.43,100,60,3.06
121,Puerto Ayora,EC,2021-10-30 20:22:39,-0.7393,-90.3518,76.96,80,91,8.55
122,Bac Lieu,VN,2021-10-30 20:22:39,9.285,105.7244,79.75,86,90,11.72
123,Albany,US,2021-10-30 20:21:09,42.6001,-73.9662,60.39,88,96,7.94
124,Ust-Barguzin,RU,2021-10-30 20:22:40,53.45,108.9833,27.32,63,99,5.32
125,Berlevag,NO,2021-10-30 20:22:40,70.8578,29.0864,38.44,74,95,3.0
126,Pangnirtung,CA,2021-10-30 20:22:41,66.1451,-65.7125,33.35,99,100,9.53
127,Comodoro Rivadavia,AR,2021-10-30 20:22:41,-45.8667,-67.5,53.46,58,20,8.05
128,Kakonko,TZ,2021-10-30 20:22:41,-3.2828,30.9642,70.11,64,35,3.89
129,Toamasina,MG,2021-10-30 20:22:41,-18.1667,49.3833,71.6,88,75,4.61
130,Matara,LK,2021-10-30 20:22:42,5.9485,80.5353,76.5,91,47,3.24
131,Lagoa,PT,2021-10-30 20:22:42,39.05,-27.9833,70.0,89,100,24.65
132,Brigantine,US,2021-10-30 20:22:43,39.4101,-74.3646,65.01,88,75,9.22
133,Hailar,CN,2021-10-30 20:22:43,49.2,119.7,25.5,45,1,5.79
134,Bethel,US,2021-10-30 20:22:43,41.3712,-73.414,61.99,90,40,1.01
135,Puro,PH,2021-10-30 20:22:44,12.4841,123.3827,80.13,72,86,15.1
136,Rawatsar,IN,2021-10-30 20:22:44,29.2833,74.3833,73.13,27,0,1.36
137,Kailua,US,2021-10-30 20:22:44,21.4022,-157.7394,84.07,65,7,5.75
138,Camana,PE,2021-10-30 20:22:45,-16.6228,-72.7111,68.9,72,50,5.48
139,Talcahuano,CL,2021-10-30 20:20:15,-36.7167,-73.1167,62.28,67,0,16.11
140,Camacha,PT,2021-10-30 20:19:59,33.0833,-16.3333,69.22,88,20,8.05
